pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,st_teff
"HD 136352 d","Radial Velocity","La Silla Observatory",2.56200000,431.00,5664.00
"HD 136352 d","Radial Velocity","La Silla Observatory",1.62083261,1091.64,5739.00
"HD 136352 d","Radial Velocity","La Silla Observatory",,,5685.00
"HD 136352 d","Radial Velocity","La Silla Observatory",,433.30,5850.00
"HD 136352 d","Radial Velocity","La Silla Observatory",2.50700000,,5664.00
"HD 136352 d","Radial Velocity","La Silla Observatory",,,5664.00
"HD 137388 b","Radial Velocity","La Silla Observatory",,,5240.00
"HD 137388 b","Radial Velocity","La Silla Observatory",,,5181.00
"HD 13808 b","Radial Velocity","La Silla Observatory",,,5035.00
"HD 13808 c","Radial Velocity","La Silla Observatory",,,5035.00
"HD 141937 b","Radial Velocity","La Silla Observatory",,,5925.00
"HD 141937 b","Radial Velocity","La Silla Observatory",,,5870.00
"HD 141937 b","Radial Velocity","La Silla Observatory",,,5879.00
"HD 141937 b","Radial Velocity","La Silla Observatory",,,
"HD 142022 A b","Radial Velocity","La Silla Observatory",,,5421.00
"HD 142022 A b","Radial Velocity","La Silla Observatory",,,5499.00
"HD 142022 A b","Radial Velocity","La Silla Observatory",,,5499.00
"HD 142415 b","Radial Velocity","La Silla Observatory",,,5940.00
"HD 142415 b","Radial Velocity","La Silla Observatory",,,6045.00
"HD 145377 b","Radial Velocity","La Silla Observatory",,,6046.00
"HD 145377 b","Radial Velocity","La Silla Observatory",,,6014.00
"HD 1461 c","Radial Velocity","La Silla Observatory",,,5695.23
"HD 1461 c","Radial Velocity","La Silla Observatory",,,5765.00
"HD 147018 b","Radial Velocity","La Silla Observatory",,,5441.00
"HD 147018 c","Radial Velocity","La Silla Observatory",,,5441.00
"HD 147513 b","Radial Velocity","La Silla Observatory",,,5883.00
"HD 148156 b","Radial Velocity","La Silla Observatory",,,6308.00
"HD 153950 b","Radial Velocity","La Silla Observatory",,,6124.00
"HD 153950 b","Radial Velocity","La Silla Observatory",,,6076.00
"HD 156411 b","Radial Velocity","La Silla Observatory",,,5900.00
"HD 156846 b","Radial Velocity","La Silla Observatory",,,6090.00
"HD 156846 b","Radial Velocity","La Silla Observatory",,,6138.00
"HD 156846 b","Radial Velocity","La Silla Observatory",,,5969.00
"HD 160691 d","Radial Velocity","La Silla Observatory",,,5761.00
"HD 160691 d","Radial Velocity","La Silla Observatory",,,
"HD 160691 d","Radial Velocity","La Silla Observatory",,,5771.56
"HD 160691 d","Radial Velocity","La Silla Observatory",,900.00,5813.00
"HD 160691 d","Radial Velocity","La Silla Observatory",,,5773.00
"HD 160691 e","Radial Velocity","La Silla Observatory",,,
"HD 160691 e","Radial Velocity","La Silla Observatory",,,5773.00
"HD 160691 e","Radial Velocity","La Silla Observatory",,,5761.00
"HD 160691 e","Radial Velocity","La Silla Observatory",,,5771.56
"HD 162020 b","Radial Velocity","La Silla Observatory",,650.00,4830.00
"HD 162020 b","Radial Velocity","La Silla Observatory",,,4723.00
"HD 168746 b","Radial Velocity","La Silla Observatory",,,5570.00
"HD 168746 b","Radial Velocity","La Silla Observatory",,,5618.88
"HD 168746 b","Radial Velocity","La Silla Observatory",,900.00,5610.00
"HD 168746 b","Radial Velocity","La Silla Observatory",,,5564.00
"HD 1690 b","Radial Velocity","La Silla Observatory",,,4393.00
"HD 1690 b","Radial Velocity","La Silla Observatory",,,4374.00
"HD 169830 b","Radial Velocity","La Silla Observatory",,,6179.26
"HD 169830 b","Radial Velocity","La Silla Observatory",,,6299.00
"HD 169830 b","Radial Velocity","La Silla Observatory",,,
"HD 169830 b","Radial Velocity","La Silla Observatory",,345.00,6300.00
"HD 169830 c","Radial Velocity","La Silla Observatory",,,6299.00
"HD 169830 c","Radial Velocity","La Silla Observatory",,,
"HD 169830 c","Radial Velocity","La Silla Observatory",,,
"HD 169830 c","Radial Velocity","La Silla Observatory",,,6179.26
"HD 169830 c","Radial Velocity","La Silla Observatory",,,
"HD 171028 b","Radial Velocity","La Silla Observatory",,,5671.00
"HD 171028 b","Radial Velocity","La Silla Observatory",,,
"HD 171238 b","Radial Velocity","La Silla Observatory",,,5440.00
"HD 171238 b","Radial Velocity","La Silla Observatory",,,
"HD 171238 b","Radial Velocity","La Silla Observatory",,,5467.00
"HD 181433 b","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181433 b","Radial Velocity","La Silla Observatory",,,4918.00
"HD 181433 b","Radial Velocity","La Silla Observatory",,,
"HD 181433 b","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181433 b","Radial Velocity","La Silla Observatory",,,4929.63
"HD 181433 b","Radial Velocity","La Silla Observatory",,,
"HD 181433 c","Radial Velocity","La Silla Observatory",,,
"HD 181433 c","Radial Velocity","La Silla Observatory",,,4929.63
"HD 181433 c","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181433 c","Radial Velocity","La Silla Observatory",,,
"HD 181433 c","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181433 c","Radial Velocity","La Silla Observatory",,,
"HD 181433 d","Radial Velocity","La Silla Observatory",,,
"HD 181433 d","Radial Velocity","La Silla Observatory",,,4929.63
"HD 181433 d","Radial Velocity","La Silla Observatory",,,4962.00
"HD 181433 d","Radial Velocity","La Silla Observatory",,,
"HD 181433 d","Radial Velocity","La Silla Observatory",,,
